,id,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000402,145757,430000402,金融街控股股份有限公司,000402.XSHE,2011-12-31,年度分红,2012-04-09,10派1元(含税),302707.9809,2012-05-09,10派1元(含税),302707.9809,2012-05-31,10派1元(含税),302707.9809,1.0,30270.7981,2012-06-07,2012-06-08,2012-06-08,302707.9809,313002,实施方案
000709,154146,430000709,河钢股份有限公司,000709.XSHE,2011-12-31,年度分红,2012-04-27,10派0.3元(含税),1061860.7367,2012-05-30,10派0.3元(含税),1061860.7367,2012-06-02,10派0.3元(含税),1061860.7367,0.3,31855.8221,2012-06-07,2012-06-08,2012-06-08,1061860.7367,313002,实施方案
000778,156049,430000778,新兴铸管股份有限公司,000778.XSHE,2011-12-31,年度分红,2012-03-20,10派5元(含税),191687.1574,2012-04-18,10派5元(含税),191687.1574,2012-05-31,10派5元(含税),191687.1574,5.0,95843.5787,2012-06-07,2012-06-08,2012-06-08,191687.1574,313002,实施方案
002044,163533,430002044,美年大健康产业控股股份有限公司,002044.XSHE,2011-12-31,年度分红,2012-03-10,10派1元(含税),22425.0,2012-04-13,10派1元(含税),22425.0,2012-06-01,10派1元(含税),22425.0,1.0,2242.5,2012-06-07,2012-06-08,2012-06-08,22425.0,313002,实施方案
002122,2036,300002421,天马轴承集团股份有限公司,002122.XSHE,2011-12-31,年度分红,2012-03-20,10派1元(含税),118800.0,2012-04-24,10派1元(含税),118800.0,2012-06-02,10派1元(含税),118800.0,1.0,11880.0,2012-06-07,2012-06-08,2012-06-08,118800.0,313002,实施方案
002142,2638,300003281,宁波银行股份有限公司,002142.XSHE,2011-12-31,年度分红,2012-04-26,10派2元(含税),288382.0529,2012-05-19,10派2元(含税),288382.0529,2012-06-01,10派2元(含税),288382.0529,2.0,57676.4106,2012-06-07,2012-06-08,2012-06-08,288382.0529,313002,实施方案
002146,2765,300003361,荣盛房地产发展股份有限公司,002146.XSHE,2011-12-31,年度分红,2012-03-20,10派1.2元(含税),186368.0,2012-04-11,10派1.2元(含税),186368.0,2012-06-01,10派1.2元(含税),186368.0,1.2,22364.16,2012-06-07,2012-06-08,2012-06-08,186368.0,313002,实施方案
002344,8353,300010329,海宁中国皮革城股份有限公司,002344.XSHE,2011-12-31,年度分红,2012-04-18,10派2.5元(含税),56000.0,2012-05-16,10派2.5元(含税),56000.0,2012-06-02,10派2.5元(含税),56000.0,2.5,14000.0,2012-06-07,2012-06-08,2012-06-08,56000.0,313002,实施方案
002416,10403,300012689,深圳市爱施德股份有限公司,002416.XSHE,2011-12-31,年度分红,2012-04-10,10派2.5元(含税),99910.0,2012-05-19,10派2.5元(含税),99910.0,2012-06-02,10派2.5元(含税),99910.0,2.5,24977.5,2012-06-07,2012-06-08,2012-06-08,99910.0,313002,实施方案
002475,11890,300014448,立讯精密工业股份有限公司,002475.XSHE,2011-12-31,年度分红,2012-03-29,10转增4股派2元(含税),26070.0,2012-04-19,10转增4股派2元(含税),26070.0,2012-06-02,10转增4股派2元(含税),26070.0,2.0,5214.0,2012-06-07,2012-06-08,2012-06-08,26070.0,313002,实施方案
600143,27158,420600143,金发科技股份有限公司,600143.XSHG,2011-12-31,年度分红,2012-04-28,10送3转增3股派3元(含税),164650.0,2012-05-19,10送3转增3股派3元(含税),164650.0,2012-05-29,10送3转增3股派3元(含税),164650.0,3.0,49395.0,2012-06-01,2012-06-04,2012-06-08,164650.0,313002,实施方案
600398,35235,420600398,海澜之家股份有限公司,600398.XSHG,2011-12-31,年度分红,2012-04-21,10派0.5元(含税),64660.4078,2012-05-15,10派0.5元(含税),64660.4078,2012-05-25,10派0.5元(含税),64660.4078,0.5,3233.0204,2012-05-31,2012-06-01,2012-06-08,64660.4078,313002,实施方案
600528,38129,420600528,中铁高新工业股份有限公司,600528.XSHG,2011-12-31,年度分红,2012-03-16,10派1元(含税),145920.0,2012-04-11,10派1元(含税),145920.0,2012-05-29,10派1元(含税),145920.0,1.0,14592.0,2012-06-01,2012-06-04,2012-06-08,145920.0,313002,实施方案
