,company_id,company_name,code,report_date,bonus_type,board_plan_pub_date,board_plan_bonusnote,distributed_share_base_board,shareholders_plan_pub_date,shareholders_plan_bonusnote,distributed_share_base_shareholders,implementation_pub_date,implementation_bonusnote,distributed_share_base_implement,bonus_ratio_rmb,at_bonus_ratio_rmb,bonus_amount_rmb,a_registration_date,a_xr_date,a_bonus_date,total_capital_before_transfer,plan_progress_code,plan_progress
000528.XSHE,430000528,广西柳工机械股份有限公司,000528.XSHE,2014-12-31,年度分红,2015-03-31,10派1.5元(含税),112524.2136,2015-05-20,10派1.5元(含税),112524.2136,2015-06-06,10派1.5元(含税),112524.2136,1.5,1.425,16878.631999999998,2015-06-11,2015-06-12,2015-06-12,112524.2136,313002,实施方案
000826.XSHE,430000826,启迪桑德环境资源股份有限公司,000826.XSHE,2014-12-31,年度分红,2015-03-16,10派1元(含税),84624.1398,2015-04-17,10派1元(含税),84624.1398,2015-06-06,10派1元(含税),84624.1398,1.0,0.95,8462.414,2015-06-11,2015-06-12,2015-06-12,84624.1398,313002,实施方案
002128.XSHE,300002704,内蒙古霍林河露天煤业股份有限公司,002128.XSHE,2014-12-31,年度分红,2015-03-27,10派1元(含税),163437.8473,2015-04-18,10派1元(含税),163437.8473,2015-06-05,10派1元(含税),163437.8473,1.0,0.95,16343.7847,2015-06-11,2015-06-12,2015-06-12,163437.8473,313002,实施方案
002241.XSHE,300004688,歌尔股份有限公司,002241.XSHE,2014-12-31,年度分红,2015-03-31,10派1元(含税),152643.0119,2015-06-04,10派1元(含税),152643.0119,2015-06-06,10派1元(含税),152643.0119,1.0,0.95,15264.3012,2015-06-11,2015-06-12,2015-06-12,152643.0119,313002,实施方案
002411.XSHE,300012607,江苏必康制药股份有限公司,002411.XSHE,2014-12-31,年度分红,2015-03-17,10派0.5元(含税),34830.0,2015-04-16,10派0.5元(含税),34830.0,2015-06-05,10派0.5元(含税),34830.0,0.5,0.475,1741.5,2015-06-11,2015-06-12,2015-06-12,34830.0,313002,实施方案
002673.XSHE,460000644,西部证券股份有限公司,002673.XSHE,2014-12-31,年度分红,2015-04-28,10送5转增5股派1.5元(含税),139778.481,2015-05-20,10送5转增5股派1.5元(含税),139778.481,2015-06-04,10送5转增5股派1.5元(含税),139778.481,1.5,1.175,20966.7722,2015-06-11,2015-06-12,2015-06-12,139778.481,313002,实施方案
600004.XSHG,420600004,广州白云国际机场股份有限公司,600004.XSHG,2014-12-31,年度分红,2015-03-31,10派2.9元(含税),115000.0,2015-04-22,10派2.9元(含税),115000.0,2015-06-05,10派2.9元(含税),115000.0,2.9,2.755,33350.0,2015-06-11,2015-06-12,2015-06-12,115000.0,313002,实施方案
600300.XSHG,420600300,维维食品饮料股份有限公司,600300.XSHG,2014-12-31,年度分红,2015-03-21,10派0.2元(含税),167200.0,2015-04-24,10派0.2元(含税),167200.0,2015-06-06,10派0.2元(含税),167200.0,0.2,0.19,3344.0,2015-06-11,2015-06-12,2015-06-12,167200.0,313002,实施方案
600522.XSHG,420600522,江苏中天科技股份有限公司,600522.XSHG,2014-12-31,年度分红,2015-04-22,10派1.1元(含税),86276.7523,2015-05-14,10派1.1元(含税),86276.7523,2015-06-08,10派1.1元(含税),86276.7523,1.1,1.045,9490.4428,2015-06-11,2015-06-12,2015-06-12,86276.7523,313002,实施方案
600547.XSHG,420600547,山东黄金矿业股份有限公司,600547.XSHG,2014-12-31,年度分红,2015-03-27,10派1元(含税),142307.2408,2015-04-17,10派1元(含税),142307.2408,2015-06-05,10派1元(含税),142307.2408,1.0,0.95,14230.7241,2015-06-11,2015-06-12,2015-06-12,142307.2408,313002,实施方案
600682.XSHG,420600682,南京新街口百货商店股份有限公司,600682.XSHG,2014-12-31,年度分红,2015-05-12,10转增10股派1元(含税),35832.1685,2015-05-28,10转增10股派1元(含税),35832.1685,2015-06-05,10转增10股派1元(含税),35832.1685,1.0,0.95,3583.2169,2015-06-11,2015-06-12,2015-06-12,35832.1685,313002,实施方案
600739.XSHG,420600739,辽宁成大股份有限公司,600739.XSHG,2014-12-31,年度分红,2015-03-28,10派2元（含税）,152970.9816,2015-04-18,10派2元（含税）,152970.9816,2015-06-05,10派2元（含税）,152970.9816,2.0,1.9,30594.1963,2015-06-11,2015-06-12,2015-06-12,152970.9816,313002,实施方案
601021.XSHG,300023129,春秋航空股份有限公司,601021.XSHG,2014-12-31,年度分红,2015-03-24,10派2.4元(含税),40000.0,2015-05-29,10派2.4元(含税),40000.0,2015-06-08,10派2.4元(含税),40000.0,2.4,2.28,9600.0,2015-06-11,2015-06-12,2015-06-12,40000.0,313002,实施方案
601107.XSHG,300007387,四川成渝高速公路股份有限公司,601107.XSHG,2014-12-31,年度分红,2015-03-27,10派0.8元(含税),305806.0,2015-05-30,10派0.8元(含税),305806.0,2015-06-08,10派0.8元(含税),305806.0,0.8,0.76,24464.48,2015-06-11,2015-06-12,2015-06-12,305806.0,313002,实施方案
601118.XSHG,300005902,海南天然橡胶产业集团股份有限公司,601118.XSHG,2014-12-31,年度分红,2015-04-15,10派0.02元(含税),393117.16,2015-05-09,10派0.02元(含税),393117.16,2015-06-08,10派0.02元(含税),393117.16,0.02,0.019,786.2343,2015-06-11,2015-06-12,2015-06-12,393117.16,313002,实施方案
601628.XSHG,300001881,中国人寿保险股份有限公司,601628.XSHG,2014-12-31,年度分红,2015-03-25,10派4元(含税),2826470.5,2015-05-29,10派4元(含税),2826470.5,2015-06-08,10派4元(含税),2826470.5,4.0,3.8,1130588.2,2015-06-11,2015-06-12,2015-06-12,2826470.5,313002,实施方案
